candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage
103,8,6.0,0.02,0.08,0.25
104,8,6.0,0.02,0.08,1.0
105,8,6.0,0.04,,
106,8,6.0,0.04,0.04,0.25
107,8,6.0,0.04,0.04,1.0
108,8,6.0,0.04,0.08,0.25
109,8,6.0,0.04,0.08,1.0
110,8,8.0,0.02,,
111,8,8.0,0.02,0.04,0.25
112,8,8.0,0.02,0.04,1.0
113,8,8.0,0.02,0.08,0.25
114,8,8.0,0.02,0.08,1.0
115,8,8.0,0.04,,
116,8,8.0,0.04,0.04,0.25
117,8,8.0,0.04,0.04,1.0
118,8,8.0,0.04,0.08,0.25
119,8,8.0,0.04,0.08,1.0
120,12,4.0,0.02,,
121,12,4.0,0.02,0.04,0.25
122,12,4.0,0.02,0.04,1.0
123,12,4.0,0.02,0.08,0.25
124,12,4.0,0.02,0.08,1.0
125,12,4.0,0.04,,
126,12,4.0,0.04,0.04,0.25
127,12,4.0,0.04,0.04,1.0
128,12,4.0,0.04,0.08,0.25
129,12,4.0,0.04,0.08,1.0
130,12,6.0,0.02,,
131,12,6.0,0.02,0.04,0.25
132,12,6.0,0.02,0.04,1.0
133,12,6.0,0.02,0.08,0.25
134,12,6.0,0.02,0.08,1.0
135,12,6.0,0.04,,
136,12,6.0,0.04,0.04,0.25
137,12,6.0,0.04,0.04,1.0
138,12,6.0,0.04,0.08,0.25
139,12,6.0,0.04,0.08,1.0
140,12,8.0,0.02,,
141,12,8.0,0.02,0.04,0.25
142,12,8.0,0.02,0.04,1.0
143,12,8.0,0.02,0.08,0.25
144,12,8.0,0.02,0.08,1.0
145,12,8.0,0.04,,
146,12,8.0,0.04,0.04,0.25
147,12,8.0,0.04,0.04,1.0
148,12,8.0,0.04,0.08,0.25
149,12,8.0,0.04,0.08,1.0
